Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992453700307092,0.9043478260869565,0.6303030303030303,0.7428571428571429,31733.14,-1.0046241401594571
CI-DecisionTree,0.9992872939178921,0.7975460122699386,0.7878787878787878,0.7926829268292681,38112.49,-1.4076160599167276
CI-RandomForest,0.9995807611281718,0.9629629629629629,0.7878787878787878,0.8666666666666665,32410.430000000008,-1.0474094391840292
CI-XGBoost,0.9995702801563761,0.9428571428571428,0.8,0.8655737704918033,33875.560000000005,-1.1399636259575985
CST-CostSensitiveLogisticRegression,0.5761285386381025,0.00017373607009009455,0.04242424242424243,0.0003460549733043306,8073657.579999999,-509.0235553194352
CST-CostSensitiveDecisionTreeClassifier,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,19082200.0,-1204.4476414042479
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
CI-LogisticRegression-TO,0.9988680550460639,0.8904109589041096,0.3939393939393939,0.5462184873949579,28120.720000000005,-0.776422823290253
CI-DecisionTree-TO,0.9992872939178921,0.7975460122699386,0.7878787878787878,0.7926829268292681,38112.49,-1.4076160599167276
CI-RandomForest-TO,0.9993816226640534,0.9818181818181818,0.6545454545454545,0.7854545454545455,28908.15,-0.8261658108006524
CI-XGBoost-TO,0.9982706396537087,0.0,0.0,0.0,15829.97,0.0
CI-LogisticRegression-BMR,0.99836496839987,0.7142857142857143,0.09090909090909091,0.16129032258064518,10285.82,0.3502312385936297
CI-DecisionTree-BMR,0.9983125635408915,0.6111111111111112,0.06666666666666667,0.12021857923497269,13075.180000000002,0.17402370314030902
CI-RandomForest-BMR,0.9983859303434615,0.7894736842105263,0.09090909090909091,0.16304347826086957,9885.82,0.3754997640551435
CI-XGBoost-BMR,0.9984068922870528,0.8823529411764706,0.09090909090909091,0.16483516483516483,9485.82,0.40076828951665733
