Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992348890589136,0.859375,0.6666666666666666,0.7508532423208192,34074.560000000005,-0.7274931228916202
CI-DecisionTree,0.999182484199935,0.7701863354037267,0.7515151515151515,0.7607361963190183,40427.37999999999,-1.0495648638317325
CI-RandomForest,0.9994340275230319,0.8992805755395683,0.7575757575757576,0.8223684210526315,35156.01,-0.7823198745136848
CI-XGBoost,0.9994969133538062,0.8926174496644296,0.806060606060606,0.8471337579617835,35197.490000000005,-0.7844228045218067
CST-CostSensitiveLogisticRegression,0.676515286497364,0.002785786012762787,0.5212121212121212,0.00554195128238175,6185483.75,-312.5882206515027
CST-CostSensitiveDecisionTreeClassifier,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,19082200.0,-966.4187801586424
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,19082200.0,-966.4187801586424
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,19724.86,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,19082200.0,-966.4187801586424
CI-LogisticRegression-TO,0.9990986364255694,0.8910891089108911,0.5454545454545454,0.6766917293233082,33244.729999999996,-0.6854228623168932
CI-DecisionTree-TO,0.999182484199935,0.7701863354037267,0.7515151515151515,0.7607361963190183,40427.37999999999,-1.0495648638317325
CI-RandomForest-TO,0.9994130655794405,0.936,0.7090909090909091,0.8068965517241379,32603.489999999994,-0.6529136328470768
CI-XGBoost-TO,0.9994235465512362,0.9741379310344828,0.6848484848484848,0.8042704626334518,35347.509999999995,-0.7920284351828095
CI-LogisticRegression-BMR,0.9983440064562786,0.6666666666666666,0.08484848484848485,0.15053763440860216,14055.149999999998,0.2874398094587238
CI-DecisionTree-BMR,0.9983125635408915,0.6,0.07272727272727272,0.1297297297297297,16593.449999999997,0.15875448545642423
CI-RandomForest-BMR,0.9984068922870528,0.8095238095238095,0.10303030303030303,0.18279569892473116,13343.529999999997,0.3235171250898614
CI-XGBoost-BMR,0.9984173732588486,0.85,0.10303030303030303,0.18378378378378377,13707.359999999999,0.3050718737674185
