Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992139271153221,0.8629032258064516,0.6484848484848484,0.740484429065744,9547.83,0.5369431202965402
CI-DecisionTree,0.9989309408768381,0.6779661016949152,0.7272727272727273,0.7017543859649122,5882.84,0.7146901930391826
CI-RandomForest,0.9993816226640534,0.8581081081081081,0.7696969696969697,0.8115015974440893,5087.200000000001,0.7532776601146605
CI-XGBoost,0.9993816226640534,0.8533333333333334,0.7757575757575758,0.8126984126984127,5996.229999999999,0.7091909309461651
CST-CostSensitiveLogisticRegression,0.3114211149657796,0.0023692003948667323,0.9454545454545454,0.004726556582336009,33443.31,-0.6219554365290871
CST-CostSensitiveDecisionTreeClassifier,0.9989414218486338,0.6684210526315789,0.7696969696969697,0.7154929577464789,6455.400000000001,0.6869218051392081
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9992453700307092,0.8120805369127517,0.7333333333333333,0.7707006369426752,4943.8099999999995,0.7602318817525279
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9992453700307092,0.8206896551724138,0.7212121212121212,0.7677419354838709,4960.82,0.759406919690598
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,47705.5,-1.3136524188944927
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9992872939178921,0.8391608391608392,0.7272727272727273,0.7792207792207791,5620.740000000001,0.7274016895960207
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9990986364255694,0.7548387096774194,0.7090909090909091,0.7312500000000001,5629.5,0.7269768414089246
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.9989938267076123,0.7116564417177914,0.703030303030303,0.7073170731707317,8487.099999999999,0.5883870948968265
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9992663319743007,0.8321678321678322,0.7212121212121212,0.7727272727272728,7422.130000000001,0.6400367037794514
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9990986364255694,0.7581699346405228,0.703030303030303,0.7295597484276729,7438.18,0.6392583004229567
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,47705.5,-1.3136524188944927
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9991929651717307,0.8055555555555556,0.703030303030303,0.7508090614886732,6438.410000000001,0.687745797228108
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9992663319743007,0.8275862068965517,0.7272727272727273,0.7741935483870968,6340.88,0.692475870708415
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,47705.5,-1.3136524188944927
CI-LogisticRegression-TO,0.9808722264728386,0.07392197125256673,0.8727272727272727,0.1362991008045433,3910.5799999999995,0.8103421434367017
CI-DecisionTree-TO,0.9989309408768381,0.6779661016949152,0.7272727272727273,0.7017543859649122,5882.84,0.7146901930391826
CI-RandomForest-TO,0.9963316598715033,0.2993492407809111,0.8363636363636363,0.4408945686900958,4393.93,0.7869003202365958
CI-XGBoost-TO,0.9617339719738814,0.03888888888888889,0.8909090909090909,0.07452471482889735,3917.16,0.8100230223098647
CI-LogisticRegression-BMR,0.9928205343199421,0.16233766233766234,0.7575757575757576,0.26737967914438504,2778.1,0.8652658962817539
CI-DecisionTree-BMR,0.9904832776095,0.1142263759086189,0.6666666666666666,0.19503546099290778,6276.23,0.6956113085275664
CI-RandomForest-BMR,0.9963945457022775,0.28741092636579574,0.7333333333333333,0.4129692832764505,4392.37,0.786975978132928
CI-XGBoost-BMR,0.9913846411839305,0.1378169790518192,0.7575757575757576,0.2332089552238806,2575.81,0.8750766884926765
