Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992768129460964,0.8870967741935484,0.6666666666666666,0.7612456747404843,11125.98,0.44678847352923345
CI-DecisionTree,0.9992348890589136,0.7584269662921348,0.8181818181818182,0.7871720116618075,5848.020000000001,0.7092218329503044
CI-RandomForest,0.9994969133538062,0.9090909090909091,0.7878787878787878,0.8441558441558441,5460.71,0.7284798539351878
CI-XGBoost,0.9995073943256019,0.8933333333333333,0.8121212121212121,0.8507936507936508,4625.36,0.7700155432531045
CST-CostSensitiveLogisticRegression,0.46921214535011685,0.0029148776933075986,0.896969696969697,0.005810871827087301,30481.84,-0.5156332508271335
CST-CostSensitiveDecisionTreeClassifier,0.9992453700307092,0.7751479289940828,0.793939393939394,0.7844311377245509,3298.5,0.8359903379240459
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9992768129460964,0.8287671232876712,0.7333333333333333,0.7781350482315111,3715.08,0.8152769394012019
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9993292178050749,0.8435374149659864,0.7515151515151515,0.7948717948717948,3896.41,0.8062607587056637
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,20111.620000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9993187368332792,0.8472222222222222,0.7393939393939394,0.7896440129449839,5962.090000000001,0.7035499875196528
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9992768129460964,0.82,0.7454545454545455,0.780952380952381,3615.6299999999997,0.8202218419003542
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,20111.620000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9992977748896877,0.831081081081081,0.7454545454545455,0.7859424920127795,3819.4399999999996,0.810087899433263
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9992977748896877,0.831081081081081,0.7454545454545455,0.7859424920127795,3937.2199999999993,0.8042315835323063
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,47705.5,-1.3720366633816665
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9992453700307092,0.8345323741007195,0.703030303030303,0.763157894736842,6931.22,0.6553624223210264
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9993082558614835,0.8278145695364238,0.7575757575757576,0.7911392405063292,6418.010000000001,0.6808805058965911
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,47705.5,-1.3720366633816665
CI-LogisticRegression-TO,0.9744788336774586,0.060077519379844964,0.9393939393939394,0.11293260473588343,2901.2999999999997,0.8557401144214141
CI-DecisionTree-TO,0.9992348890589136,0.7584269662921348,0.8181818181818182,0.7871720116618075,5848.020000000001,0.7092218329503044
CI-RandomForest-TO,0.9994235465512362,0.9365079365079365,0.7151515151515152,0.8109965635738832,7635.93,0.6203224802377929
CI-XGBoost-TO,0.9985221829768056,0.5447761194029851,0.8848484848484849,0.674364896073903,3318.49,0.834996385174342
CI-LogisticRegression-BMR,0.9839641131525715,0.08,0.7878787878787878,0.1452513966480447,2150.96,0.8930488941219057
CI-DecisionTree-BMR,0.9869826330297345,0.09541697971450037,0.7696969696969697,0.16978609625668448,4614.85,0.7705381267148047
CI-RandomForest-BMR,0.9904623156659086,0.1300893743793446,0.793939393939394,0.22354948805460753,3700.98,0.8159780266333593
CI-XGBoost-BMR,0.9786712223957406,0.061855670103092786,0.8,0.11483253588516747,1683.5800000000002,0.9162881955804654
