Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.999182484199935,0.859504132231405,0.6303030303030303,0.7272727272727273,11955.199999999999,0.46442578938196544
CI-DecisionTree,0.9991195983691608,0.7396449704142012,0.7575757575757576,0.7485029940119761,6818.820000000001,0.6945275579792503
CI-RandomForest,0.9994864323820105,0.9328358208955224,0.7575757575757576,0.8361204013377928,7304.16,0.6727850871396694
CI-XGBoost,0.9994759514102147,0.8807947019867549,0.806060606060606,0.8417721518987342,6509.6,0.708380129028443
CST-CostSensitiveLogisticRegression,0.44887906006644934,0.00019070139974827416,0.06060606060606061,0.0003802064521034922,46009.83,-1.0611682266227223
CST-CostSensitiveDecisionTreeClassifier,0.9992663319743007,0.8145695364238411,0.7454545454545455,0.7784810126582279,6408.89,0.7128917790845979
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9993711416922577,0.8776978417266187,0.7393939393939394,0.8026315789473685,7007.820000000001,0.6860606543886112
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9993501797486662,0.8705035971223022,0.7333333333333333,0.7960526315789473,7085.120000000001,0.6825977356184715
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,22322.210000000003,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9993501797486662,0.8705035971223022,0.7333333333333333,0.7960526315789473,8759.58,0.6075845536799449
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9993921036358491,0.8794326241134752,0.7515151515151515,0.8104575163398693,6664.6,0.701436372115485
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.9982916015973001,1.0,0.012121212121212121,0.02395209580838323,21273.150000000005,0.04699624275553349
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.999360660720462,0.8768115942028986,0.7333333333333333,0.7986798679867987,7307.92,0.6726166450364905
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9993921036358491,0.8741258741258742,0.7575757575757576,0.8116883116883118,6446.7,0.711197950382153
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.9992139271153221,0.8629032258064516,0.6484848484848484,0.740484429065744,8467.990000000002,0.620647328378328
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.999360660720462,0.8661971830985915,0.7454545454545455,0.8013029315960911,6772.06,0.6966223326453788
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9993921036358491,0.8741258741258742,0.7575757575757576,0.8116883116883118,6989.179999999999,0.6868956971554341
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,22322.210000000003,0.0
CI-LogisticRegression-TO,0.99524163880475,0.2433392539964476,0.8303030303030303,0.37637362637362637,5706.799999999999,0.7443443099943958
CI-DecisionTree-TO,0.9991195983691608,0.7396449704142012,0.7575757575757576,0.7485029940119761,6818.820000000001,0.6945275579792503
CI-RandomForest-TO,0.9962792550125248,0.2978723404255319,0.8484848484848485,0.44094488188976383,5449.2,0.755884385999415
CI-XGBoost-TO,0.9994445084948277,0.8589743589743589,0.8121212121212121,0.8348909657320872,6492.370000000001,0.7091520060065737
CI-LogisticRegression-BMR,0.9886281456016602,0.10683760683760683,0.7575757575757576,0.18726591760299627,5299.03,0.7626117664872789
CI-DecisionTree-BMR,0.989948748047919,0.11381322957198443,0.7090909090909091,0.19614417435037718,5123.150000000001,0.7704909146540598
CI-RandomForest-BMR,0.995597991845804,0.24652087475149106,0.7515151515151515,0.37125748502994016,4325.49,0.8062248316810925
CI-XGBoost-BMR,0.9851065390783034,0.08520475561426684,0.7818181818181819,0.15366289458010718,2407.56,0.8921450877847669
