Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9933550638815231,0.19185282522996058,0.8848484848484849,0.3153347732181425,6305.469999999999,0.757265702833755
CI-DecisionTree,0.9760509794468143,0.06198347107438017,0.9090909090909091,0.1160541586073501,7113.49,0.7261603027927954
CI-RandomForest,0.9967194558279444,0.3310502283105023,0.8787878787878788,0.4809286898839138,6100.6,0.7651523433951166
CI-XGBoost,0.992967267925082,0.18453865336658354,0.896969696969697,0.3061013443640124,5356.0,0.7938163379379478
CST-CostSensitiveLogisticRegression,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,95411.0,-2.672925575243178
CST-CostSensitiveDecisionTreeClassifier,0.7282703252245548,0.005414122796912798,0.8545454545454545,0.01076007326007326,30877.57,-0.1886576658284842
CI-LogisticRegression-TO,0.0577815975097211,0.00183205089770494,1.0,0.003657401250166245,90063.0,-2.4670498798160208
CI-DecisionTree-TO,0.9760509794468143,0.06198347107438017,0.9090909090909091,0.1160541586073501,7113.49,0.7261603027927954
CI-RandomForest-TO,0.7890180377524604,0.007936116724996303,0.9757575757575757,0.01574418149814199,20413.84,0.21415229873995456
CI-XGBoost-TO,0.954963264193856,0.03531264057579847,0.9515151515151515,0.06809802645846888,8618.630000000001,0.6682186901871051
CI-LogisticRegression-BMR,0.9933760258251145,0.1357254290171607,0.5272727272727272,0.21588089330024815,3439.0399999999995,0.867611302991434
CI-DecisionTree-BMR,0.9859240548783683,0.05378787878787879,0.4303030303030303,0.09562289562289562,6227.42,0.7602703023154471
CI-RandomForest-BMR,0.9921916760121998,0.11842105263157894,0.5454545454545454,0.19459459459459458,4016.79,0.8453703375776268
CI-XGBoost-BMR,0.9898858622171448,0.09183673469387756,0.5454545454545454,0.1572052401746725,3484.9600000000005,0.8658435745071379
