Accuracy,Cost,F1,Name,Precision,Recall,Savings
0.9991195983691608,14749.720000000001,0.697841726618705,CI-LogisticRegression,0.8584070796460177,0.5878787878787879,0.405600757621552
0.9991091173973651,9741.22,0.746268656716418,CI-DecisionTree,0.7352941176470589,0.7575757575757576,0.6074383928751336
0.9994549894666234,8138.23,0.827814569536424,CI-RandomForest,0.9124087591240876,0.7575757575757576,0.6720373168913338
0.9994864323820105,10722.739999999998,0.8382838283828382,CI-XGBoost,0.9202898550724637,0.7696969696969697,0.5678841000221646
0.3318380480238128,48981.77,0.0006897200363670565,CST-CostSensitiveLogisticRegression,0.0003457542944254978,0.13333333333333333,-0.9739172661145696
0.999182484199935,7369.219999999999,0.7592592592592593,CST-CostSensitiveDecisionTreeClassifier,0.7735849056603774,0.7454545454545455,0.7030276652763505
0.9992139271153221,10256.11,0.7648902821316614,CI-LogisticRegression-TO,0.7922077922077922,0.7393939393939394,0.586688831126962
0.9991091173973651,9741.22,0.746268656716418,CI-DecisionTree-TO,0.7352941176470589,0.7575757575757576,0.6074383928751336
0.9956084728175997,5468.22,0.410689170182841,CI-RandomForest-TO,0.2673992673992674,0.8848484848484849,0.7796360998609684
0.9565668528785989,7513.79,0.06666666666666667,CI-XGBoost-TO,0.034619883040935676,0.896969696969697,0.6972016361401601
0.9947280711867604,3728.400000000001,0.34248366013071896,CI-LogisticRegression-BMR,0.21833333333333332,0.793939393939394,0.8497491386084749
0.9921078282378342,6134.689999999999,0.24169184290030213,CI-DecisionTree-BMR,0.14492753623188406,0.7272727272727273,0.752778012855387
0.9978828436972677,6629.7699999999995,0.5608695652173914,CI-RandomForest-BMR,0.43728813559322033,0.7818181818181819,0.7328267746680369
0.9929148630661034,3316.640000000001,0.2762312633832977,CI-XGBoost-BMR,0.16775032509752927,0.7818181818181819,0.8663426625561668
