Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9898858622171448,0.13167587476979742,0.8666666666666667,0.22861710631494803,5572.47,0.750362083324187
CI-DecisionTree,0.971942438502898,0.050143266475644696,0.8484848484848485,0.09469056476158268,7900.700000000001,0.6460610306954374
CI-RandomForest,0.995807611281718,0.27184466019417475,0.8484848484848485,0.411764705882353,5641.09,0.7472880149411729
CI-XGBoost,0.9943717181457065,0.21559633027522937,0.8545454545454545,0.3443223443223443,6477.070000000001,0.7098374220115302
CST-CostSensitiveLogisticRegression,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,95411.0,-3.2742631665950634
CST-CostSensitiveDecisionTreeClassifier,0.7807275890620579,0.00693652603572786,0.8848484848484849,0.013765144015462218,26713.54,-0.19672469706180506
CI-LogisticRegression-TO,0.9693431574975632,0.04783748361730013,0.8848484848484849,0.09076779608330741,7497.61,0.6641188305279809
CI-DecisionTree-TO,0.971942438502898,0.050143266475644696,0.8484848484848485,0.09469056476158268,7900.700000000001,0.6460610306954374
CI-RandomForest-TO,0.9685570846128853,0.04697986577181208,0.8909090909090909,0.08925318761384335,7573.930000000001,0.6606998142209037
CI-XGBoost-TO,0.974782781859534,0.05763916304776944,0.8848484848484849,0.10822831727205337,6275.28,0.7188772975435677
CI-LogisticRegression-BMR,0.9894771043171123,0.08588351431391905,0.5272727272727272,0.14770797962648557,3021.7,0.8646325789426764
CI-DecisionTree-BMR,0.9840269989833458,0.04790419161676647,0.43636363636363634,0.08633093525179857,6767.280000000001,0.696836469148888
CI-RandomForest-BMR,0.9869826330297345,0.06954436450839328,0.5272727272727272,0.1228813559322034,2961.0900000000006,0.8673478118878014
CI-XGBoost-BMR,0.9897600905555963,0.0898989898989899,0.5393939393939394,0.1541125541125541,2678.77,0.8799953051243582
