Accuracy,Cost,F1,Name,Precision,Recall,Savings
0.999182484199935,6169.569999999999,0.7346938775510204,LogisticRegression,0.8372093023255814,0.6545454545454545,0.5948644671374097
0.9991510412845479,5708.01,0.7507692307692306,DecisionTree,0.7625,0.7393939393939394,0.6251736064369162
0.999465470438419,5017.6,0.8271186440677966,RandomForest,0.9384615384615385,0.7393939393939394,0.6705105785830562
0.9994130655794405,6622.74,0.8133333333333332,XGBoost,0.9037037037037037,0.7393939393939394,0.5651062717644193
0.3372043055832137,163631.28999999995,0.0031212560691090234,CostSensitiveLogisticRegression,0.0015646978868676014,0.6,-9.745132945593136
0.9989519028204296,4859.59,0.6402877697841727,CostSensitiveDecisionTreeClassifier,0.7876106194690266,0.5393939393939394,0.6808865797545508
0.9989414218486338,5535.610000000001,0.61003861003861,CostSensitiveRandomForestClassifier-majority_voting,0.8404255319148937,0.47878787878787876,0.6364945519591342
0.9989204599050424,5384.17,0.6199261992619925,CostSensitiveRandomForestClassifier-weighted_voting,0.7924528301886793,0.509090909090909,0.646439122666122
0.0017293603462913082,238527.5,0.003452749644262158,CostSensitiveRandomForestClassifier-stacking,0.0017293603462913082,1.0,-14.663322697510774
0.0017293603462913082,238527.5,0.003452749644262158,CostSensitiveRandomForestClassifier-stacking_proba,0.0017293603462913082,1.0,-14.663322697510774
0.9975369716280094,7982.500000000001,0.2769230769230769,CostSensitiveRandomForestClassifier-stacking_bmr,0.28125,0.2727272727272727,0.47581526896110615
0.9976941862049449,4353.9,0.39560439560439564,CostSensitiveRandomForestClassifier-stacking_proba_bmr,0.36180904522613067,0.43636363636363634,0.714093592174101
0.9972120615023425,4336.8,0.354368932038835,CostSensitiveRandomForestClassifier-majority_bmr,0.29554655870445345,0.44242424242424244,0.7152164933830911
0.9971910995587511,4343.01,0.35576923076923084,CostSensitiveRandomForestClassifier-weighted_bmr,0.2948207171314741,0.4484848484848485,0.7148087029440369
0.9989099789332467,6886.560000000001,0.6030534351145038,CostSensitiveBaggingClassifier-majority_voting,0.8144329896907216,0.47878787878787876,0.547782073112032
0.9989728647640209,5643.24,0.6287878787878788,CostSensitiveBaggingClassifier-weighted_voting,0.8383838383838383,0.503030303030303,0.6294268410162321
0.0012786785590759976,246752.42999999996,0.0022198720432246785,CostSensitiveBaggingClassifier-stacking,0.0011118570109926995,0.6424242424242425,-15.203427015689755
0.9982706396537087,15228.409999999998,0.0,CostSensitiveBaggingClassifier-stacking_proba,0.0,0.0,0.0
0.9981763109075473,4235.700000000001,0.44936708860759494,CostSensitiveBaggingClassifier-stacking_bmr,0.47019867549668876,0.4303030303030303,0.7218554005309812
0.9932816970789532,16052.529999999999,0.00927357032457496,CostSensitiveBaggingClassifier-stacking_proba_bmr,0.006224066390041493,0.01818181818181818,-0.054117271599595895
0.9964364695894603,4523.01,0.30327868852459017,CostSensitiveBaggingClassifier-majority_bmr,0.22910216718266255,0.4484848484848485,0.7029886902178231
0.9977361100921277,4213.01,0.4065934065934066,CostSensitiveBaggingClassifier-weighted_bmr,0.37185929648241206,0.4484848484848485,0.7233453788018578
0.9989519028204296,5896.43,0.635036496350365,CostSensitivePastingClassifier-majority_voting,0.7981651376146789,0.5272727272727272,0.6128006797820651
0.9989728647640209,5561.700000000001,0.6449275362318841,CostSensitivePastingClassifier-weighted_voting,0.8018018018018018,0.5393939393939394,0.6347813067812069
0.0017293603462913082,238527.5,0.003452749644262158,CostSensitivePastingClassifier-stacking,0.0017293603462913082,1.0,-14.663322697510774
0.0017293603462913082,238527.5,0.003452749644262158,CostSensitivePastingClassifier-stacking_proba,0.0017293603462913082,1.0,-14.663322697510774
0.9934074687405016,15715.18,0.012558869701726844,CostSensitivePastingClassifier-stacking_bmr,0.00847457627118644,0.024242424242424242,-0.031964597748550316
0.9951473100585886,4836.900000000001,0.23973727422003285,CostSensitivePastingClassifier-stacking_proba_bmr,0.16441441441441443,0.44242424242424244,0.6823765580254274
0.9972435044177296,4656.490000000001,0.3538083538083538,CostSensitivePastingClassifier-majority_bmr,0.2975206611570248,0.43636363636363634,0.6942234941139619
0.9966775319407616,4465.51,0.3182795698924731,CostSensitivePastingClassifier-weighted_bmr,0.24666666666666667,0.4484848484848485,0.7067645276164747
0.9989833457358166,5537.8,0.6339622641509434,CostSensitiveRandomPatchesClassifier-majority_voting,0.84,0.509090909090909,0.6363507418042986
0.9990252696229994,5183.66,0.6759581881533101,CostSensitiveRandomPatchesClassifier-weighted_voting,0.7950819672131147,0.5878787878787879,0.6596059601757505
0.9982706396537087,15228.409999999998,0.0,CostSensitiveRandomPatchesClassifier-stacking,0.0,0.0,0.0
0.9982706396537087,15228.409999999998,0.0,CostSensitiveRandomPatchesClassifier-stacking_proba,0.0,0.0,0.0
0.9982706396537087,5604.949999999999,0.4329896907216495,CostSensitiveRandomPatchesClassifier-stacking_bmr,0.5,0.38181818181818183,0.6319412203900473
0.9979457295280418,4903.59,0.40963855421686746,CostSensitiveRandomPatchesClassifier-stacking_proba_bmr,0.40718562874251496,0.4121212121212121,0.6779972433103653
0.9963735837586861,4538.01,0.29959514170040485,CostSensitiveRandomPatchesClassifier-majority_bmr,0.22492401215805471,0.4484848484848485,0.7020036891573053
0.9950425003406316,4855.51,0.2383252818035427,CostSensitiveRandomPatchesClassifier-weighted_bmr,0.16228070175438597,0.4484848484848485,0.6811545000430117
0.9991405603127522,6077.9,0.7388535031847134,LogisticRegression-threshold-opt-calibration,0.7785234899328859,0.703030303030303,0.6008841369519208
