Accuracy,Cost,F1,Name,Precision,Recall,Savings
0.9992139271153221,10878.25,0.7368421052631579,CI-LogisticRegression,0.875,0.6363636363636364,0.43122581144403005
0.9990043076794081,8844.969999999998,0.7094801223241589,CI-DecisionTree,0.7160493827160493,0.703030303030303,0.5375367697422015
0.9994445084948277,8219.029999999999,0.8191126279863482,CI-RandomForest,0.9375,0.7272727272727273,0.5702643238602558
0.9995073943256019,7933.3499999999985,0.8469055374592833,CI-XGBoost,0.9154929577464789,0.7878787878787878,0.5852012310086179
0.5346238903271111,52769.41,0.006355458085306359,CST-CostSensitiveLogisticRegression,0.003189506075784461,0.8606060606060606,-1.7590723097306356
0.9991720032281393,7787.82,0.7357859531772575,CST-CostSensitiveDecisionTreeClassifier,0.8208955223880597,0.6666666666666666,0.5928103324413436
0.9986060307511713,7163.799999999999,0.6748166259168704,CI-LogisticRegression-TO,0.5655737704918032,0.8363636363636363,0.6254374984967934
0.9990043076794081,8844.969999999998,0.7094801223241589,CI-DecisionTree-TO,0.7160493827160493,0.703030303030303,0.5375367697422015
0.9962058882099548,6579.38,0.43260188087774293,CI-RandomForest-TO,0.2917547568710359,0.8363636363636363,0.6559941607610252
0.9972959092767081,7051.8099999999995,0.5186567164179104,CI-XGBoost-TO,0.3746630727762803,0.8424242424242424,0.6312929459608969
0.9944765278636635,6975.11,0.23733719247467439,CI-LogisticRegression-BMR,0.155893536121673,0.49696969696969695,0.6353032399201497
0.9963840647304818,6909.530000000001,0.2827442827442827,CI-DecisionTree-BMR,0.21518987341772153,0.4121212121212121,0.6387321196834848
0.997977172443429,6351.799999999999,0.4563380281690141,CI-RandomForest-BMR,0.4263157894736842,0.4909090909090909,0.6678932833066156
0.9901793294274245,4971.93,0.15049864007252947,CI-XGBoost-BMR,0.08848614072494669,0.503030303030303,0.7400404061951984
