Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9991615222563436,0.8899082568807339,0.5878787878787879,0.7080291970802919,25857.32,0.007566839778356593
CI-DecisionTree,0.9990462315665909,0.7371794871794872,0.696969696969697,0.7165109034267912,26781.429999999997,-0.027901546260584054
CI-RandomForest,0.9994445084948277,0.9242424242424242,0.7393939393939394,0.8215488215488215,22031.69,0.1543988421180703
CI-XGBoost,0.9994025846076449,0.921875,0.7151515151515152,0.8054607508532423,22690.049999999996,0.12913024137508855
CST-CostSensitiveLogisticRegression,0.11838257643248681,0.0006542867679423276,0.3333333333333333,0.001306010020658704,8423562.51,-322.3058477105848
CST-CostSensitiveDecisionTreeClassifier,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-365.1981993876675
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-365.1981993876675
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,26054.469999999998,0.0
CI-LogisticRegression-TO,0.9991510412845479,0.8,0.6787878787878788,0.7344262295081967,23641.339999999997,0.09261865622290533
CI-DecisionTree-TO,0.9990462315665909,0.7371794871794872,0.696969696969697,0.7165109034267912,26781.429999999997,-0.027901546260584054
CI-RandomForest-TO,0.9994235465512362,0.9435483870967742,0.7090909090909091,0.8096885813148789,21460.859999999997,0.1763079425526599
CI-XGBoost-TO,0.9992872939178921,0.9619047619047619,0.6121212121212121,0.7481481481481482,21432.149999999998,0.17740986479479337
CI-LogisticRegression-BMR,0.9985536258921928,0.8857142857142857,0.18787878787878787,0.30999999999999994,14092.4,0.45911776366972723
CI-DecisionTree-BMR,0.99843833520244,0.7352941176470589,0.15151515151515152,0.2512562814070352,17192.37,0.3401374121216052
CI-RandomForest-BMR,0.9985326639486013,0.7906976744186046,0.20606060606060606,0.3269230769230769,14645.239999999998,0.4378991397637335
CI-XGBoost-BMR,0.9985326639486013,0.8048780487804879,0.2,0.3203883495145632,14711.92,0.43533988601572005
