Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9991405603127522,0.8672566371681416,0.593939393939394,0.7050359712230216,22527.12,-0.008870959073923324
CI-DecisionTree,0.9992244080871179,0.7935483870967742,0.7454545454545455,0.7687499999999999,22268.510000000002,0.0027108196321918854
CI-RandomForest,0.999465470438419,0.9318181818181818,0.7454545454545455,0.8282828282828283,20225.149999999998,0.09422214300301324
CI-XGBoost,0.9995283562691932,0.9477611940298507,0.7696969696969697,0.8494983277591973,20309.46,0.09044634252077122
CST-CostSensitiveLogisticRegression,0.4723145130016455,0.00087527352297593,0.26666666666666666,0.0017448200654307524,5044255.7299999995,-224.90562469322458
CST-CostSensitiveDecisionTreeClassifier,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomForestClassifier'>_stacking,0.9982916015973001,1.0,0.012121212121212121,0.02395209580838323,22441.87,-0.005053060946641708
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_weighted_voting,0.9982916015973001,1.0,0.012121212121212121,0.02395209580838323,22441.87,-0.005053060946641708
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveBaggingClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-426.2955756270758
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitivePastingClassifier'>_stacking,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_majority_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_weighted_voting,0.9982706396537087,0.0,0.0,0.0,22329.04,0.0
ECSDT-<class 'costcla.models.cost_ensemble.CostSensitiveRandomPatchesClassifier'>_stacking,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,9541100.0,-426.2955756270758
CI-LogisticRegression-TO,0.9990043076794081,0.8571428571428571,0.509090909090909,0.6387832699619772,24669.03,-0.10479581746461109
CI-DecisionTree-TO,0.9992244080871179,0.7935483870967742,0.7454545454545455,0.7687499999999999,22268.510000000002,0.0027108196321918854
CI-RandomForest-TO,0.999465470438419,0.9191176470588235,0.7575757575757576,0.8305647840531561,20524.479999999996,0.08081673014155577
CI-XGBoost-TO,0.9985012210332141,1.0,0.13333333333333333,0.23529411764705882,23123.990000000005,-0.03560162013234813
CI-LogisticRegression-BMR,0.9985536258921928,0.9090909090909091,0.18181818181818182,0.30303030303030304,10167.169999999998,0.5446660492345394
CI-DecisionTree-BMR,0.9984907400614185,0.8620689655172413,0.15151515151515152,0.25773195876288657,11827.07,0.47032787795624
CI-RandomForest-BMR,0.9985641068639884,0.9117647058823529,0.18787878787878787,0.31155778894472363,10922.949999999999,0.5108186469279468
CI-XGBoost-BMR,0.9985641068639884,0.9117647058823529,0.18787878787878787,0.31155778894472363,10843.68,0.5143687323772093
