Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9993711416922577,0.8143712574850299,0.8242424242424242,0.8192771084337349,2581.2100000000005,0.858651355598999
CI-DecisionTree,0.9974007189946652,0.38243626062322944,0.8181818181818182,0.5212355212355212,3788.59,0.7925344854966514
CI-RandomForest,0.9994025846076449,0.8461538461538461,0.8,0.8224299065420562,2384.59,0.8694183875189608
CI-XGBoost,0.999465470438419,0.8518518518518519,0.8363636363636363,0.8440366972477065,2376.85,0.8698422346711351
CST-CostSensitiveLogisticRegression,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,95411.0,-4.224764940064509
CST-CostSensitiveDecisionTreeClassifier,0.9953778914380942,0.21604938271604937,0.6363636363636364,0.3225806451612903,7467.529999999999,0.5910734723157716
CI-LogisticRegression-TO,0.995702801563761,0.2684310018903592,0.8606060606060606,0.40922190201729103,2698.9700000000003,0.8522027456971847
CI-DecisionTree-TO,0.9974007189946652,0.38243626062322944,0.8181818181818182,0.5212355212355212,3788.59,0.7925344854966514
CI-RandomForest-TO,0.9827797633396569,0.08154020385050963,0.8727272727272727,0.1491455204557224,3287.5,0.8199744815538872
CI-XGBoost-TO,0.9406986615799017,0.02654714704361317,0.9333333333333333,0.051625879986590684,6187.27,0.6611812959646903
CI-LogisticRegression-BMR,0.995807611281718,0.20987654320987653,0.5151515151515151,0.2982456140350877,1849.58,0.8987158636022627
CI-DecisionTree-BMR,0.9967508987433314,0.25752508361204013,0.4666666666666667,0.33189655172413796,3788.9699999999993,0.7925136764633405
CI-RandomForest-BMR,0.9971386946997726,0.3014705882352941,0.49696969696969695,0.37528604118993136,2542.6,0.8607656629046124
CI-XGBoost-BMR,0.9911435788326294,0.1,0.5151515151515151,0.16748768472906406,1700.1799999999998,0.9068970993302776
