Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9845720095167224,0.09130706691682301,0.8848484848484849,0.1655328798185941,5323.760000000001,0.7494090324135483
CI-DecisionTree,0.920868662942428,0.019017845512570013,0.8848484848484849,0.03723539913287426,11093.94,0.4778049425695299
CI-RandomForest,0.9907767448197797,0.14142427281845538,0.8545454545454545,0.24268502581755594,6026.620000000001,0.7163252030377287
CI-XGBoost,0.9891207512760584,0.12338222605694564,0.8666666666666667,0.21601208459214502,5669.969999999999,0.7331128246791454
CST-CostSensitiveLogisticRegression,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,95411.0,-3.491024164949385
CST-CostSensitiveDecisionTreeClassifier,0.5960109421345547,0.0038779731127197518,0.9090909090909091,0.007723001673317029,40951.37,-0.9275931733005978
CI-LogisticRegression-TO,0.08363815492972508,0.0018836476551440705,1.0,0.003760212395027404,87596.0,-3.123169789153309
CI-DecisionTree-TO,0.920868662942428,0.019017845512570013,0.8848484848484849,0.03723539913287426,11093.94,0.4778049425695299
CI-RandomForest-TO,0.8296842083197954,0.009633558929333578,0.9575757575757575,0.0190752142943378,17156.91,0.19241914028925644
CI-XGBoost-TO,0.08453951850415571,0.0018854988001371271,1.0,0.003763900769888794,87510.0,-3.119121743559136
CI-LogisticRegression-BMR,0.9945289327226421,0.15606936416184972,0.4909090909090909,0.23684210526315788,4299.700000000001,0.7976118413806282
CI-DecisionTree-BMR,0.9674146586871535,0.018009168303863784,0.3333333333333333,0.034172103137620376,7108.32,0.6654092621166007
CI-RandomForest-BMR,0.991940132689103,0.10158311345646438,0.4666666666666667,0.1668472372697725,5882.639999999999,0.7231023844871363
CI-XGBoost-BMR,0.9945918185534163,0.15520628683693516,0.47878787878787876,0.2344213649851632,4367.85,0.7944040005987342
