Name,Accuracy,Precision,Recall,F1,Cost,Savings
CI-LogisticRegression,0.9992139271153221,0.7710843373493976,0.7757575757575758,0.7734138972809668,5659.06,0.6169312040376471
CI-DecisionTree,0.9978828436972677,0.4405144694533762,0.8303030303030303,0.5756302521008403,3576.45,0.757905660070832
CI-RandomForest,0.9995283562691932,0.8896103896103896,0.8303030303030303,0.8589341692789968,3447.8999999999996,0.7666073691392923
CI-XGBoost,0.9994445084948277,0.8333333333333334,0.8484848484848485,0.8408408408408408,3333.58,0.774345831844126
CST-CostSensitiveLogisticRegression,0.0017293603462913082,0.0017293603462913082,1.0,0.003452749644262158,95411.0,-5.458489023188313
CST-CostSensitiveDecisionTreeClassifier,0.9929882298686734,0.16219839142091153,0.7333333333333333,0.265642151481888,4044.5899999999997,0.7262166823710345
CI-LogisticRegression-TO,0.9983544874280743,0.5145985401459854,0.8545454545454545,0.642369020501139,3438.8100000000004,0.7672226825226629
CI-DecisionTree-TO,0.9978828436972677,0.4405144694533762,0.8303030303030303,0.5756302521008403,3576.45,0.757905660070832
CI-RandomForest-TO,0.9964050266740733,0.3081896551724138,0.8666666666666667,0.4546899841017489,3604.3599999999997,0.7560163975262912
CI-XGBoost-TO,0.9848759576987979,0.09505703422053231,0.9090909090909091,0.17211703958691912,2297.8599999999997,0.8444550042780865
CI-LogisticRegression-BMR,0.9969395562356542,0.281786941580756,0.49696969696969695,0.35964912280701755,3613.6600000000003,0.7553868689822486
CI-DecisionTree-BMR,0.9968976323484714,0.27177700348432055,0.4727272727272727,0.34513274336283184,3599.1000000000004,0.7563724534555024
CI-RandomForest-BMR,0.9951368290867929,0.17849462365591398,0.503030303030303,0.2634920634920635,3677.92,0.7510370298166379
CI-XGBoost-BMR,0.9939419983020825,0.147008547008547,0.5212121212121212,0.22933333333333333,2123.21,0.8562772795702418
